id,name,code,iata,sign,country,status
3459,Merpati Nusantara Airlines,MZ,MNA,MERPATI,Indonesia,1
3460,Mesa Airlines,YV,ASH,AIR SHUTTLE,United States,1
3461,Mesaba Airlines,XJ,MES,MESABA,United States,1
3462,Meta Linhas A,,MSQ,META,Brazil,1
3463,Meteorological Research Flight,,MET,METMAN,United Kingdom,1
3464,Methow Aviation,,MER,METHOW,United States,1
3465,Metro Business Aviation,,MVI,,United Kingdom,1
3466,Metro Express,,MEX,EAGLE EXPRESS,United States,1
3467,Metroflight,,MTR,METRO,United States,1
3468,Metrojet,,MTJ,METROJET,Hong Kong SAR of China,1
3469,Metropix UK,,PIX,METROPIX,United Kingdom,1
3470,Metroplis,,MPS,METRO REGIONAL,Netherlands,1
3471,Mex Blue,,MXB,MEX BLUE,Mexico,1
3472,Mex-Jet,,MJT,MEJETS,Mexico,1
3473,Mexicana de Aviaci,MX,MXA,MEXICANA,Mexico,1
3474,Mexico Transportes Aereos,,MXT,TRANSMEX,Mexico,1
3475,Miami Air Charter,,HUR,HURRICANE CHARTER,United States,1
3476,Miami Air International,GL,BSK,BISCAYNE,United States,1
3477,Miami Valley Aviation,,OWL,NIGHT OWL,United States,1
3478,Miapet-Avia,,MPT,MIAPET,Armenia,1
3479,Michelin Air Services,,BIB,,France,1
3480,Micromatter Technology Solutions,,WIZ,WIZARD,United Kingdom,1
3481,Mid Airlines,,NYL,NILE,Sudan,1
3482,Mid-Pacific Airlines,,MPA,MID PAC,United States,1
3483,Midamerica Jet,,MJR,MAJOR,United States,1
3484,Middle East Airlines,ME,MEA,CEDAR JET,Lebanon,1
3485,Midland Airport Services,,MID,,United Kingdom,1
3486,Midline Air Freight,,MFR,MIDLINE FREIGHT,United States,1
3487,Midstate Airlines,,MIS,MIDSTATE,United States,1
3488,Midway Airlines,JI,MDW,MIDWAY,United States,1
3489,Midway Express,,FLA,PALM,United States,1
3490,Midwest Air Freighters,,FAX,FAIRFAX,United States,1
3491,Midwest Airlines,YX,MEP,,United States,1
3492,Midwest Airlines (Egypt),MY,MWA,,Egypt,1
3493,Midwest Aviation,,NIT,NIGHTTRAIN,United States,1
3494,Midwest Aviation Division,,MWT,MIDWEST,United States,1
3495,Midwest Helicopters De Mexico,,HTE,HELICOPTERSMEXICO,Mexico,1
3496,Millardair,,MAB,MILLARDAIR,Canada,1
3497,Millen Corporation,,RJM,MILLEN,United Kingdom,1
3498,Millennium Air,,MLK,NIGERJET,Nigeria,1
3499,Miller Flying Services,,MFS,MILLER TIME,United States,1
3500,Million Air,,OXO,MILL AIR,United States,1
3501,Mimino,,MIM,MIMINO,Russia,1
3502,Mina Airline Company,,NAB,,Egypt,1
3503,Minair,,OMR,ORMINE,Central African Republic,1
3504,Minebea Technologies,,EBE,MINEBEA,United States,1
3505,Mines Air Services Zambia,,MAZ,MINES,Zambia,1
3506,Miniliner,,MNL,MINILINER,Italy,1
3507,Ministic Air,,MNS,MINISTIC,Canada,1
3508,Ministry of Agriculture,,WDG,Fisheries and Food,WATCHDOG,1
3509,Minsk Aircraft Overhaul Plant,,LIR,LISLINE,Belarus,1
3510,Miramichi Air Service,,MIR,MIRAMICHI,Canada,1
3511,Miras,,MIF,MIRAS,Kazakhstan,1
3512,Misr Overseas Airways,,MOS,,Egypt,1
3513,Mission Aviation Fellowship,,MAF,MISSI,Indonesia,1
3514,Missionair,,MSN,MISIONAIR,Spain,1
3515,Missions Gouvernemtales Francaises,,MRN,MARIANNE,France,1
3516,Mississippi State University,,BDG,BULLDOG,United States,1
3517,Mississippi Valley Airways,,MVA,VALAIR,United States,1
3518,Mistral Air,,MSA,AIRMERCI,Italy,1
3519,Mobil Oil,,MBO,MOBIL,Canada,1
3520,Mocambique Expresso,,MXE,MOZAMBIQUE EXPRESS,Mozambique,1
3521,Mofaz Air,,MFZ,MOFAZ AIR,Malaysia,1
3522,Moldaeroservice,,MLE,MOLDAERO,Moldova,1
3523,Moldavian Airlines,2M,MDV,MOLDAVIAN,Moldova,1
3524,Moldova,,MVG,MOLDOVA-STATE,Moldova,1
3525,Mombasa Air Safari,,RRV,SKYROVER,Kenya,1
3526,Monarch Airlines,ZB,MON,MONARCH,United Kingdom,1
3527,Monarch Airlines,,MNH,MONARCH AIR,United States,1
3529,Moncton Flying Club,,MFC,EAST WIND,Canada,1
3530,Monde Air Charters,,MDB,MONDEAIR CARGO,United Kingdom,1
3531,Monerrey Air Taxi,,MTI,MONTERREY AIR,Mexico,1
3532,Monky Aerotaxis,,MKY,MONKY,Mexico,1
3533,Montenegro Airlines,YM,MGX,MONTAIR,Montenegro,1
3534,Montserrat Airways,,MNT,MONTSERRAT,Montserrat,1
